"nombre","fechaInicio"
"Análisis Químico","05/03/2021"
"Biofarmacia","12/01/2021"
"Biofísica","16/02/2021"
"Biología ","26/02/2021"
"Biología 2ºC ","26/02/2021"
"Biología Enfermería","26/12/2023"
"Biología Odontología","19/06/2021"
"Bioquímica Enfermería","23/12/2023"
"Bioquímica II","01/12/2020"
"Bioquímica Medicina","12/01/2021"
"Bioquímica Odontología","12/01/2021"
"Bioquímica Veterinaria 1ºC","25/02/2021"
"Bioquímica Veterinaria 2º C","15/02/2021"
"Bioquímica y Biología","09/10/2025"
"Cálculo Avanzado de Estructuras (Máster)","23/02/2021"
"Course copying in progress","01/01/1970"
"Course copying in progress copia 1","01/01/1970"
"Course copying in progress copia 2","01/01/1970"
"Cría ","23/02/2021"
"Cría 2º Cuatrimestre","18/11/2020"
"Econometría","10/01/2021"
"Estadística Medicina","14/06/2021"
"Estadística para Veterinarios","10/10/2020"
"Farmacología 2","08/07/2021"
"Farmacología Medicina","08/10/2021"
"Física Ingeniería","01/11/2023"
"Física para Veterinarios","16/02/2021"
"Fisiología","16/02/2021"
"Fisiología Vet 1ºC","17/05/2024"
"Fisiología Veterinaria  2ºC","16/05/2021"
"Fisiopatología Veterinaría","09/06/2021"
"Genética (Veterinaria)","26/02/2021"
"Histología","15/11/2024"
"Inmunología (Veterinaria)","26/02/2021"
"Mecánica de los Medios Continuos","10/10/2020"
"Microbiología ","07/02/2023"
"Microbiología 2ºC (Veterinaria)","26/02/2021"
"Microbiología Odontología","02/10/2024"
"Microbiología Veterinaria","26/02/2021"
"Patología ","07/02/2023"
"Prácticas Farmacología 2","08/07/2021"
"Prácticas Fisiopatología","04/07/2021"
"Preparación al parto","20/07/2024"
"Prueba","26/02/2021"
"Química Farmacéutica","10/10/2020"
"Química Farmacia","11/10/2024"
"Química Ingeniería Industrial","26/10/2023"
"Química Orgánica","12/01/2021"
"Química para Veterinarios","10/10/2020"
