"fecha","userid","action","target","objecttable","cantidad"
"2026-05-14 19:46:24","5","deleted","question","question","20"
"2026-05-14 19:34:08","5","deleted","user_enrolment","user_enrolments","2"
"2026-05-05 10:59:29","5","deleted","question","question","1"
"2026-05-02 08:21:09","5","deleted","user_enrolment","user_enrolments","1"
"2026-04-15 15:11:48","5","deleted","grade","grade_grades","5"
"2026-04-15 15:11:48","5","deleted","user_enrolment","user_enrolments","3"
"2026-03-23 20:28:58","3","deleted","grade","grade_grades","25"
"2026-03-23 20:28:58","3","deleted","user","user","1"
"2026-03-23 19:56:10","3","deleted","user_enrolment","user_enrolments","2"
"2026-03-23 19:41:19","5","deleted","user_enrolment","user_enrolments","2"
"2026-02-28 07:28:52","5","deleted","user_enrolment","user_enrolments","1"
"2026-02-19 08:06:25","5","deleted","user_enrolment","user_enrolments","1"
"2026-02-16 12:43:00","3","deleted","user","user","1"
"2026-02-16 12:42:59","3","deleted","user_enrolment","user_enrolments","1"
"2026-02-13 18:19:48","5","deleted","grade","grade_grades","117"
"2026-02-13 18:19:48","5","deleted","user_enrolment","user_enrolments","3"
"2026-02-10 12:20:29","5","deleted","grade","grade_grades","969"
"2026-02-10 12:18:35","5","deleted","user_enrolment","user_enrolments","25"
"2025-12-12 07:27:28","5","deleted","user_enrolment","user_enrolments","1"
"2025-11-28 11:35:37","5","deleted","user_enrolment","user_enrolments","2"
"2025-10-16 15:10:21","5","deleted","grade","grade_grades","8"
"2025-10-16 15:10:21","5","deleted","user_enrolment","user_enrolments","2"
"2025-10-10 12:55:11","5","deleted","grade","grade_grades","517"
"2025-10-10 12:55:11","5","deleted","user_enrolment","user_enrolments","37"
"2025-10-07 17:03:20","5","deleted","user_enrolment","user_enrolments","2"
"2025-09-10 17:28:41","3","deleted","user_enrolment","user_enrolments","13"
"2025-06-21 12:21:44","5","deleted","user_enrolment","user_enrolments","1"
"2025-06-14 06:38:45","5","deleted","user_enrolment","user_enrolments","2"
