"file_title","course_name","filename","filesize","file_path"
"BOLUS BICOMPARTIMENTAL IV","Biofarmacia","BOLUS BICOMPARTIMENTAL IV.pdf","713639","b7/db/b7db2cffc0e61740d9afa8b3d4d536ae90fc1505"
"BOLUS EXTRAVASAL","Biofarmacia","07 BOLUS EXTRAVASAL.pdf","268173","19/da/19da53cc3ad653e2116c2d59bacb965a5ed95539"
"BOLUS IV BICOMPARTIMENTAL","Biofarmacia","10 BOLUS BICOMPARTIMENTAL IV.pdf","713639","b7/db/b7db2cffc0e61740d9afa8b3d4d536ae90fc1505"
"DOSIS MULTIPLES EV","Biofarmacia","09 DOSIS MULTIPLES EV.pdf","305628","ae/b2/aeb214296cd59195590f458f248c3e9f5e7a4f90"
"DOSIS MULTIPLES EV","Biofarmacia","09 DOSIS MULTIPLES EV.pdf","386622","89/1b/891bb0a4a1d1f219cdee9a1f499ec4f6b853ad3b"
"ENSAYOS DE BIOEQUIVALENCIA","Biofarmacia","08 ENSAYOS BIOEQUIVALENCIA.pdf","496505","e6/c6/e6c650beda73a58ea21940234bc9d27c5e95e7c3"
"EXAMEN 3P 2014","Biofarmacia","examen 3p 2014.pdf","328207","c3/a0/c3a0c8076ef458a70bc0215440df21b179732ac1"
"EXAMEN 3P 2015","Biofarmacia","examen 3p 2015.pdf","405560","29/f3/29f30bbcd0495ecc20c2193b5e50e4ea37440303"
"EXAMEN 3P 2016","Biofarmacia","examen 3p 2016.pdf","1640015","a9/4d/a94d8740d739f928fbbca071fe3c7bd02c6e1529"
"EXAMEN 3P 2018","Biofarmacia","examen 3p 2018.pdf","616174","cf/83/cf83ee2c211190a5a2e0739c2838a4942ee1b471"
"EXAMEN 3P 2018","Biofarmacia","examen 3p 2018.pdf","616174","cf/83/cf83ee2c211190a5a2e0739c2838a4942ee1b471"
"EXAMEN 3P 2019","Biofarmacia","examen 3p 2019.pdf","929882","80/54/80549503568280b9fb0fe31fd4372c7e8ba2e63e"
"EXAMEN 3P 2020","Biofarmacia","examen 3p 2020.pdf","259590","c3/a8/c3a846c5dfc36de99f19cc11ceaf76ba8641ae4c"
"EXAMEN 4P 2016","Biofarmacia","examen 4p 2016.pdf","541098","42/47/4247502df976cd7cb92c76773592f508af79d392"
